,precision,recall,f1-score,support
0,0.7777777777777778,0.3333333333333333,0.4666666666666667,21.0
1,0.8478260869565217,0.975,0.9069767441860465,80.0
accuracy,0.8415841584158416,0.8415841584158416,0.8415841584158416,0.8415841584158416
macro avg,0.8128019323671498,0.6541666666666667,0.6868217054263566,101.0
weighted avg,0.8332615870282679,0.8415841584158416,0.8154271241077596,101.0
