,count,mean,std,min,25%,50%,75%,max
Age,1259.0,79428148.31135821,2818299442.9819684,-1726.0,27.0,31.0,36.0,99999999999.0
Age,1259.0,79428148.31135821,2818299442.9819684,-1726.0,27.0,31.0,36.0,99999999999.0
